commit	val_bpb	interpret_score	hoyer	convergence	erank	attn_conc	status	description
196c928	1.4205	0.5876	0.6014	0.5976	0.6770	0.4642	keep	UNEMBEDDING_LR=0.008 (interpret +0.011, BEST composite 0.5876!)
d89f6c8	1.4193	0.5636	0.6123	0.5573	0.6369	0.4543	discard	UNEMBEDDING_LR=0.012 (interpret much worse, 0.008 is sweet spot)
06b417c	1.4291	0.5790	0.5986	0.5896	0.6529	0.4643	discard	UNEMBEDDING_LR=0.010 (both worse, 0.008 confirmed optimal)
f534648	1.4197	0.5921	0.5926	0.6082	0.6904	0.4610	keep	WARMDOWN_RATIO=0.7 (both improved! convergence +0.011, NEW BEST 0.5921!)
4e39314	1.4228	0.5949	0.5861	0.6158	0.6977	0.4590	keep	WARMDOWN_RATIO=0.85 (interpret +0.003, convergence +0.008, val_bpb -0.003)
0197e6c	1.4229	0.6015	0.5781	0.6422	0.6954	0.4493	keep	SCALAR_LR=1.0 (interpret +0.007, convergence +0.026! FIRST >0.60!)
9757698	1.5053	0.0000	0.0000	0.0000	0.0000	0.0000	discard	SCALAR_LR=2.0 (val_bpb much worse, too aggressive)
b92a10a	1.4294	0.5993	0.5768	0.6357	0.6947	0.4535	discard	x0_lambdas=0.7 (both worse, high scalar LR already finds optimal)
5ac0448	1.4283	0.5831	0.5832	0.5934	0.6867	0.4588	discard	EMBEDDING_LR=0.3 (both worse, convergence dropped significantly)
7f39c23	1.4236	0.5947	0.5675	0.6323	0.6865	0.4550	discard	WEIGHT_DECAY=0.1 (both worse)
cec3138	1.4170	0.5884	0.5918	0.6012	0.6869	0.4609	keep	MATRIX_LR=0.06 (val_bpb improved -0.006, interpret -0.013 within tolerance)
9399df7	1.4148	0.6063	0.5895	0.6373	0.6886	0.4788	keep	SCALAR_LR=1.5 (both improved! NEW BEST 0.6063! attn_conc +0.018!)
1b25d16	1.4132	0.5868	0.5988	0.5908	0.6821	0.4715	discard	MATRIX_LR=0.08 (interpret -0.020, too aggressive for convergence)
6f438b2	1.4233	0.5922	0.5974	0.6096	0.6908	0.4533	discard	EMBEDDING_LR=1.0 (both worse)
e24b419	1.4662	0.5919	0.6135	0.6114	0.6847	0.4385	discard	SPARSITY_COEFF=0.001 (hoyer +0.024 but val_bpb too degraded)
2f3bd9a	1.4225	0.5931	0.5989	0.6039	0.6909	0.4677	discard	SPARSITY_COEFF=0.0001 (both worse, sparsity loss approach abandoned)
afaa142	1.5681	0.0000	0.0000	0.0000	0.0000	0.0000	discard	AR=48 384dim 3heads (val_bpb terrible, too large for time budget)
b112f69	1.4180	0.5880	0.5939	0.6035	0.6843	0.4548	discard	resid_lambdas LR 0.1x (both worse, 0.01x factor was better)
73c673c	1.4169	0.6030	0.5913	0.6300	0.6820	0.4815	discard	FINAL_LR_FRAC=0.2 (both slightly worse, very close)
46e5b1d	1.4105	0.5872	0.6009	0.5920	0.6721	0.4789	discard	Parallel attn+MLP (val_bpb -0.004 but convergence collapsed -0.045)
018fb98	1.4585	0.0000	0.0000	0.0000	0.0000	0.0000	discard	WARMUP_RATIO=0.05 (val_bpb much worse, warmup eats training time)
e5303b6	1.4280	0.5835	0.5867	0.5934	0.6829	0.4611	discard	MATRIX_LR=0.05 (both worse, 0.06 is optimal)
ce94ff3	1.4124	0.5889	0.5935	0.5976	0.6855	0.4702	keep	x0 betas=(0.99,0.999) (val_bpb best! -0.002, interpret -0.017 in tolerance)
788c7e5	1.4805	0.0000	0.0000	0.0000	0.0000	0.0000	discard	SCALAR_LR=2.0 (still unstable even with smooth x0 betas)
0f0f3b7	1.4125	0.5893	0.5935	0.5983	0.6855	0.4708	discard	ns_steps=7 (flat, no benefit from more NS iterations)
